name,date,passenger
6호선,201802,9006419
6호선,201803,11496844
6호선,201804,11108151
6호선,201805,11567943
6호선,201806,10602634
6호선,201807,10632495
6호선,201808,10229063
6호선,201809,10185000
6호선,201810,11811629
6호선,201811,11286820
6호선,201812,10938420
6호선,201901,10439337
6호선,201902,8930481
6호선,201903,11313594
6호선,201904,11276357
6호선,201905,11707933
7호선,201711,22072213
7호선,201712,21821835
7호선,201801,20808681
7호선,201802,18321937
7호선,201803,22747349
7호선,201804,22251248
7호선,201805,22847200
7호선,201806,21242129
7호선,201807,21467155
7호선,201808,20765978
7호선,201809,20102943
7호선,201810,22709438
7호선,201811,22594694
7호선,201812,21729775
7호선,201901,21451866
7호선,201902,18303459
7호선,201903,22454521
7호선,201904,22872658
7호선,201905,23561337
8호선,201711,5653701
8호선,201712,5723547
8호선,201801,5451091
8호선,201802,4772563
8호선,201803,5905182
8호선,201804,5793719
8호선,201805,5916680
8호선,201806,5523152
8호선,201807,5630084
8호선,201808,5445725
8호선,201809,5176534
8호선,201810,5973011
8호선,201811,5944278
8호선,201812,5786610
8호선,201901,5738366
8호선,201902,4882939
8호선,201903,5999692
8호선,201904,6132746
8호선,201905,6255062
인천1호선,201711,6197885
인천1호선,201712,6206436
인천1호선,201801,5707794
인천1호선,201802,5127939
인천1호선,201803,6461234
인천1호선,201804,6254065
인천1호선,201805,6533132
인천1호선,201806,6055539
인천1호선,201807,5985743
인천1호선,201808,5729269
인천1호선,201809,5815947
인천1호선,201810,6451713
인천1호선,201811,6372583
인천1호선,201812,6182630
인천1호선,201901,5917244
인천1호선,201902,5155354
인천1호선,201903,6352570
인천1호선,201904,6417388
인천1호선,201905,6672033
인천2호선,201711,3095605
인천2호선,201712,3100523
인천2호선,201801,2920783
인천2호선,201802,2600793
인천2호선,201803,3317713
인천2호선,201804,3336808
인천2호선,201805,3404656
인천2호선,201806,3235633
인천2호선,201807,3219280
인천2호선,201808,3072128
인천2호선,201809,3090506
인천2호선,201810,3504677
인천2호선,201811,3388645
인천2호선,201812,3285307
인천2호선,201901,3210965
인천2호선,201902,2797143
인천2호선,201903,3454249
인천2호선,201904,3671729
인천2호선,201905,3725189
9호선,201711,8212931
9호선,201712,8048476
9호선,201801,7808855
9호선,201802,6834393
9호선,201803,8281299
9호선,201804,8289982
9호선,201805,8267466
9호선,201806,7826524
9호선,201807,8149485
9호선,201808,7884945
9호선,201809,7393374
9호선,201810,8401438
9호선,201811,8371558
9호선,201812,8323283
9호선,201901,8282107
9호선,201902,7036592
9호선,201903,8481055
9호선,201904,8843721
9호선,201905,8767212
공항철도 1호선,201711,2972769
공항철도 1호선,201712,3057356
공항철도 1호선,201801,3061504
공항철도 1호선,201802,2795040
공항철도 1호선,201803,3225826
공항철도 1호선,201804,3137155
공항철도 1호선,201805,3237594
공항철도 1호선,201806,3133360
공항철도 1호선,201807,3265938
공항철도 1호선,201808,3388878
공항철도 1호선,201809,3110974
공항철도 1호선,201810,3524138
공항철도 1호선,201811,3445346
공항철도 1호선,201812,3422177
공항철도 1호선,201901,3429836
공항철도 1호선,201902,3055208
공항철도 1호선,201903,3584528
공항철도 1호선,201904,3600142
공항철도 1호선,201905,3736138
신분당선,201711,2050195
신분당선,201712,2038939
신분당선,201801,2017810
신분당선,201802,1757952
신분당선,201803,2079797
신분당선,201804,2005855
신분당선,201805,2036580
